6	20	0	15
8	23	0	67
46	38	1	73
3	20	0	66
8	21	0	24
51	49	1	101
37	56	1	61
2	21	0	62
2	20	0	30
36	47	1	74
44	40	1	74
40	55	1	110
12	20	0	59
8	20	0	61
33	48	1	62
66	46	1	66
10	20	0	22
8	20	0	15
33	54	1	67
36	46	1	69
8	20	0	35
45	20	1	68
39	59	1	70
36	47	1	59
33	32	1	62
40	49	1	73
36	58	1	67
33	52	1	104
9	26	0	61
28	22	1	68
38	57	1	69
37	52	1	104
38	29	1	76
36	46	1	102
13	20	0	72
33	51	1	92
12	20	0	54
50	42	1	84
29	54	1	70
37	44	1	76
43	51	1	62
6	26	0	15
9	20	0	66
34	45	1	66
7	25	0	15
27	28	1	70
13	20	0	64
39	56	1	109
42	23	1	65
6	21	0	70
42	25	1	77
41	30	1	65
28	58	1	99
28	48	1	80
38	53	1	102
12	25	0	22
31	43	1	103
29	47	1	101
42	49	1	70
7	20	0	65
33	48	1	68
34	44	1	99
40	30	1	109
3	20	0	28
8	20	0	70
11	20	0	62
36	41	1	97
41	48	1	97
37	35	1	66
6	22	0	17
3	20	0	75
44	32	1	72
29	48	1	76
9	27	0	40
39	52	1	112
39	49	1	69
2	20	0	64
33	50	1	63
4	20	0	61
38	44	1	99
5	20	0	45
34	45	1	70
36	45	1	69
39	57	1	105
34	42	1	67
26	24	1	110
4	26	0	62
31	37	1	61
8	22	0	71
14	30	0	25
13	20	0	58
12	20	0	60
35	25	1	91
10	21	0	48
8	24	0	24
11	20	0	62
37	51	1	112
1	25	0	71
37	31	1	111
3	30	0	61
6	20	0	60
49	53	1	72
2	20	0	75
3	51	0	63
45	45	1	104
30	44	1	75
16	20	0	60
35	53	1	77
33	54	1	69
6	26	0	76
44	28	1	105
10	37	0	57
34	44	1	111
37	60	1	73
42	42	1	94
41	48	1	68
9	20	0	23
1	20	0	63
37	51	1	60
35	48	1	102
9	24	0	62
29	47	1	112
38	46	1	65
11	44	0	68
11	52	0	73
12	20	0	62
33	38	1	101
5	20	0	69
34	48	1	91
38	38	1	81
30	35	1	70
35	21	1	70
9	24	0	62
44	27	1	72
5	21	0	39
34	46	1	96
44	52	1	65
31	50	1	71
11	22	0	66
41	35	1	99
11	21	0	30
41	46	1	100
40	51	1	61
40	57	1	57
28	49	1	74
80	42	1	98
41	52	1	112
43	55	1	63
7	20	0	42
38	51	1	76
7	46	0	54
13	20	0	64
33	45	1	73
45	45	1	102
39	42	1	107
36	53	1	103
29	44	1	105
30	44	1	69
1	20	0	58
40	47	1	76
7	20	0	65
41	31	1	61
36	45	1	68
39	55	1	68
35	51	1	73
35	46	1	93
2	43	0	67
48	43	1	76
37	51	1	101
38	49	1	74
41	50	1	59
30	54	1	65
35	48	1	69
1	20	0	64
33	51	1	77
12	20	0	15
42	22	1	68
4	22	0	31
8	20	0	62
31	53	1	108
33	44	1	71
1	26	0	40
9	26	0	58
34	43	1	92
34	54	1	73
38	51	1	105
33	46	1	66
34	51	1	69
